date,max_temperature,avg_hourly_temperature,avg_temperature,min_temperature,max_humidex,min_windchill,max_relative_humidity,avg_hourly_relative_humidity,avg_relative_humidity,min_relative_humidity,max_dew_point,avg_hourly_dew_point,avg_dew_point,min_dew_point,max_wind_speed,avg_hourly_wind_speed,avg_wind_speed,min_wind_speed,max_wind_gust,wind_gust_dir_10s,max_pressure_sea,avg_hourly_pressure_sea,avg_pressure_sea,min_pressure_sea,max_pressure_station,avg_hourly_pressure_station,avg_pressure_station,min_pressure_station,max_visibility,avg_hourly_visibility,avg_visibility,min_visibility,max_health_index,avg_hourly_health_index,avg_health_index,min_health_index,heatdegdays,cooldegdays,growdegdays_5,growdegdays_7,growdegdays_10,precipitation,rain,snow,snow_on_ground,sunrise,sunset,daylight,sunrise_f,sunset_f,min_uv_forecast,max_uv_forecast,min_high_temperature_forecast,max_high_temperature_forecast,min_low_temperature_forecast,max_low_temperature_forecast,solar_radiation,max_cloud_cover_4,avg_hourly_cloud_cover_4,avg_cloud_cover_4,min_cloud_cover_4,max_cloud_cover_8,avg_hourly_cloud_cover_8,avg_cloud_cover_8,min_cloud_cover_8,max_cloud_cover_10,avg_hourly_cloud_cover_10,avg_cloud_cover_10,min_cloud_cover_10
2023-01-30,-19,-24.79,-24.3,-29.6,,-42,79,74.4,74,69,-23.3,-28.1,-27.8,-32.2,21,15.83,13.5,6,,,102.65,102.4,102.38,102.1,96.09,95.84,95.82,95.56,24100,24100,24100,24100,3.9,2.6,3,2.1,42.3,0,0,0,0,0,,,18,08:51:00,17:49:00,8.97,8.85,17.82,1,1,-20,-20,-28,-26,,,,,,5,1.5,2.5,0,,,,
2023-01-29,-18.6,-23.69,-23.75,-28.9,,-40,79,69.4,69,59,-22.9,-27.9,-27.9,-32.9,29,18.38,19,9,37,35,103.66,103.25,103.22,102.78,97.03,96.67,96.61,96.2,24100,20700,16900,9700,2.7,2.3,2.4,2.1,41.8,0,0,0,0,0.1,,,18,08:52:00,17:47:00,8.92,8.87,17.78,1,1,-21,-18,-27,-26,,,,,,8,3.8,4,0,,,,
2023-01-28,-18,-21.33,-22.35,-26.7,,-38,80,73.4,73.5,67,-22.3,-24.9,-25.9,-29.4,40,21.71,22.5,5,39,28,103.51,103.26,103.3,103.08,96.91,96.7,96.74,96.56,24100,22833.3,16900,9700,2.2,2.1,2.1,2,40.4,0,0,0,0,0,,,18,08:54:00,17:46:00,8.87,8.9,17.77,1,1,-20,-20,-26,-25,,,,,,8,4.9,4,0,,,,
2023-01-27,-4.2,-13.6,-13.8,-23.4,,-32,89,75.5,78,67,-6.6,-17.1,-16.6,-26.6,32,20.92,20.5,9,32,1,103.07,102.04,102.12,101.16,96.55,95.72,95.77,94.99,24100,21825,12850,1600,2.3,2.1,2,1.8,31.8,0,0,0,0,0,,,18,08:55:00,17:44:00,8.82,8.92,17.73,,,-13,-12,-25,-25,,,,,,8,6.8,5.5,3,,,,
2023-01-26,3.7,-1.46,-1.54,-6.8,,-13,97,84.7,87.5,78,0.9,-3.7,-3.9,-8.6,59,35.38,34.5,10,64,29,101.96,100.72,100.97,99.99,95.71,94.57,94.8,93.89,24100,22900,16900,9700,2.6,2.2,2.3,2,19.5,0,0,0,0,2.7,,,23,08:57:00,17:42:00,8.75,8.95,17.7,,,3,3,-9,-9,,,,,,8,6.6,5.5,3,,,,
2023-01-25,-2.6,-4.46,-4.5,-6.4,,-12,95,87.8,87,79,-4.8,-6.2,-6.2,-7.5,21,12.54,14,7,,,102.56,102.32,102.33,102.1,96.26,96.03,96.03,95.8,24100,23500,16900,9700,2.7,2.4,2.4,2.1,22.5,0,0,0,0,0,,,23,08:58:00,17:40:00,8.7,8.97,17.67,,,-4,-4,-10,-10,,,,,,8,8,8,8,,,,
2023-01-24,-6.2,-8.42,-9.19,-12.2,,-17,94,89.5,90,86,-7.3,-9.9,-10.1,-12.8,16,9.54,10,4,,,102.25,101.88,101.69,101.14,95.92,95.58,95.4,94.88,24100,20833.3,18500,12900,3.1,2.6,2.7,2.3,27.2,0,0,0,0,0.2,,,23,08:59:00,17:39:00,8.67,8.98,17.65,,,-8,-8,-9,-8,,,,,,8,8,8,8,,,,
2023-01-23,-1.1,-8.78,-8.7,-16.3,,-20,95,86.9,86.5,78,-5.2,-10.6,-10.9,-16.7,26,9.21,15,4,35,32,101.99,101.58,101.54,101.1,95.72,95.31,95.28,94.83,24100,23900,21700,19300,3.3,2.6,2.6,2,26.7,0,0,0,0,0,,,23,09:00:00,17:37:00,8.62,9,17.62,,,-5,-5,-9,-8,,,,,,8,6.2,4.5,1,,,,
2023-01-22,1.3,-2.68,-3.95,-9.2,,-12,97,89,89,81,0.1,-4.2,-4.2,-8.4,31,20.08,20,9,32,29,101.63,101.04,101.15,100.67,95.44,94.84,94.95,94.46,24100,22295.8,13650,3200,3.4,2.6,2.7,2,21.9,0,0,0,0,1.5,,,22,09:02:00,17:35:00,8.55,9.03,17.58,,,1,1,-11,-9,,,,,,8,6.8,6,4,,,,
2023-01-21,-3.7,-10.45,-9.69,-15.7,,-23,94,87.3,86.5,79,-7.8,-12.2,-12.4,-17,20,12.29,13.5,7,,,101.88,101.6,101.47,101.05,95.54,95.28,95.16,94.78,24100,24100,24100,24100,3.6,3.2,3.2,2.8,27.7,0,0,0,0,0,,,22,09:03:00,17:33:00,8.5,9.05,17.55,1,1,-3,-3,-6,-4,,,,,,5,2.1,2.5,0,,,,
